amfi_code,var_95_pct,cvar_95_pct,num_obs,mean_daily_ret,std_daily_ret,scheme_name,fund_house,sub_category,risk_category
101207,-2.3915,-3.0289,1607,0.0303,1.3741,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Very High
119095,-2.3284,-2.969,1607,0.013,1.3351,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Very High
119599,-2.3155,-3.0163,1607,0.0144,1.3289,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Very High
118634,-2.281,-2.994,1607,0.0506,1.3447,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Very High
149324,-2.152,-2.8573,1607,0.0854,1.3241,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Very High
119598,-2.1502,-2.8444,1607,0.0859,1.3401,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Very High
119094,-1.6997,-2.2375,1607,0.0734,1.0347,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,High
120842,-1.695,-2.1251,1607,0.0223,0.9532,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,High
100033,-1.6902,-2.185,1607,0.0772,1.0097,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,High
102886,-1.6857,-2.1771,1607,0.0079,0.9659,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,High
125498,-1.6762,-2.1484,1607,0.0341,0.9777,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,High
120505,-1.6224,-2.2363,1607,0.083,1.0288,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,High
149323,-1.5866,-2.0903,1607,0.0754,0.9464,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,High
148569,-1.5259,-1.9852,1607,0.0804,0.9427,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,High
102887,-1.3743,-1.7964,1607,0.0461,0.8398,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Moderately High
120843,-1.3327,-1.7114,1607,0.0773,0.8475,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Moderately High
148568,-1.3313,-1.7384,1607,0.059,0.8226,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Moderately High
120506,-1.3005,-1.7792,1607,0.0465,0.8117,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Moderately High
149322,-1.2955,-1.6995,1607,0.0373,0.7648,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Moderate
100016,-1.2884,-1.6768,1607,0.0101,0.7749,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate
119092,-1.2693,-1.6166,1607,0.0197,0.7431,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Moderate
148567,-1.2607,-1.6343,1607,0.0768,0.7575,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Moderate
119093,-1.2588,-1.6332,1607,0.0236,0.7449,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Moderate
120504,-1.2531,-1.6226,1607,0.0603,0.766,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Moderate
125497,-1.2502,-1.6964,1607,0.0507,0.7819,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate
118632,-1.2333,-1.6328,1607,0.0619,0.7545,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Moderate
101206,-1.2173,-1.6075,1607,0.0609,0.7768,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Moderate
120503,-1.2133,-1.61,1607,0.0499,0.7402,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Moderate
119552,-1.2129,-1.6078,1607,0.0561,0.7433,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Moderate
118633,-1.2066,-1.5542,1607,0.0441,0.746,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Moderate
119551,-1.1827,-1.523,1607,0.0656,0.733,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Moderate
120841,-1.1725,-1.5249,1607,0.0373,0.7175,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Moderate
102885,-1.1047,-1.4381,1607,0.0482,0.6844,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Moderate
118635,-1.1033,-1.4938,1607,0.0429,0.692,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Moderate
119120,-0.3429,-0.4618,1607,0.0159,0.2115,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Low
118636,-0.3344,-0.4541,1607,0.0144,0.2125,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Low
100025,-0.3338,-0.4581,1607,0.0122,0.2081,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Low
101208,-0.0218,-0.0371,1607,0.0173,0.0291,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Low
120844,-0.0204,-0.0362,1607,0.0183,0.0297,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Low
120507,-0.0196,-0.0325,1607,0.0191,0.0289,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Low
