amfi_code,scheme_name,fund_house,sub_category,plan,risk_category,latest_nav,mu_annual_pct,sigma_annual_pct,p5_nav_5yr,p25_nav_5yr,p50_nav_5yr,p75_nav_5yr,p95_nav_5yr,expected_return_5yr_pct,prob_profit_pct,max_simulated_nav,min_simulated_nav,simulations
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,Moderate,230.2708,18.617,12.015,371.27,468.57,568.18,681.52,892.91,146.74,99.9,1264.32,226.1,1000
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,High,473.764,19.586,16.313,643.3,923.83,1166.7,1497.57,2145.64,146.26,99.4,4324.15,370.0,1000
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,High,97.7435,19.128,14.946,136.95,191.43,238.7,302.88,442.3,144.21,99.6,767.74,77.42,1000
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,Moderately High,163.2397,18.581,13.431,251.39,326.32,392.29,487.99,630.01,140.32,99.9,1228.95,160.72,1000
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,Very High,309.205,19.376,21.236,326.09,529.82,729.11,990.36,1547.37,135.8,96.4,3762.1,110.87,1000
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,High,342.0072,18.167,16.013,443.98,623.46,793.34,1023.9,1381.04,131.97,99.1,2537.26,263.93,1000
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,High,245.3651,17.879,15.015,318.45,448.57,564.27,703.64,980.5,129.97,99.1,2587.5,191.47,1000
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,Very High,279.7511,19.305,20.991,307.88,460.04,634.32,906.83,1403.93,126.74,96.9,3249.89,195.47,1000
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,High,203.8581,17.147,16.402,244.9,348.0,440.86,555.33,840.04,116.26,98.5,1467.88,155.33,1000
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,Moderate,149.3216,15.838,11.621,209.38,265.9,313.2,374.35,478.55,109.75,99.8,752.11,130.84,1000
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,Moderate,110.5554,14.869,11.969,141.82,187.5,225.19,271.71,355.35,103.69,99.7,537.08,101.49,1000
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,Moderate,773.2939,14.584,12.318,970.31,1288.33,1548.18,1861.4,2452.41,100.21,99.5,4382.23,513.97,1000
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,Moderate,151.1311,14.448,12.145,187.17,249.32,294.82,358.76,463.12,95.08,99.3,752.06,132.61,1000
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,Moderately High,205.451,14.011,13.045,245.48,326.54,395.07,479.82,641.11,92.29,98.3,874.66,163.31,1000
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,Moderate,137.7323,13.45,11.789,166.44,216.66,258.71,311.22,392.59,87.84,99.1,606.13,100.21,1000
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,Moderate,187.7797,11.555,10.854,217.26,275.11,328.22,382.92,482.12,74.79,98.7,836.49,151.99,1000
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,Moderate,118.1496,11.877,11.741,134.36,174.57,206.16,251.23,319.02,74.49,98.9,483.98,90.96,1000
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,Moderate,1204.9571,12.012,12.404,1339.0,1760.4,2069.77,2478.89,3332.36,71.77,97.2,4629.86,943.11,1000
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,Moderate,326.7508,10.215,10.979,353.56,451.81,535.71,626.13,806.85,63.95,97.4,1529.32,235.2,1000
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,Moderate,91.601,10.403,11.826,95.98,125.94,149.77,180.9,233.75,63.51,96.6,323.57,70.15,1000
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,Moderately High,404.4207,10.882,12.876,418.07,546.41,659.37,809.94,1086.44,63.04,95.9,1535.41,261.59,1000
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,Moderately High,378.9657,10.739,13.317,383.52,501.54,602.08,746.07,984.42,58.87,95.5,1725.41,219.32,1000
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,Very High,134.6683,10.462,21.343,100.48,150.02,202.65,282.69,439.99,50.48,82.1,789.11,43.75,1000
